name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
École primaire Kibobwa,-7.4549259,29.6763406,,School,DRC_All_SCHool_Local,11.506194946522585,safe
École primaire Mulenga,-7.37232,29.8004509,,School,DRC_All_SCHool_Local,12.705275401233992,safe
École primaire Kalaba,-7.2085933,29.6245884,,School,DRC_All_SCHool_Local,15.080916389333895,safe
École primaire Mulungushi,-7.726174,29.5279395,,School,DRC_All_SCHool_Local,28.29162604129061,safe
École primaire Kayembwe,-8.3827222,28.8351667,,School,DRC_All_SCHool_Local,11.746658775244908,safe
École primaire Kabilozi,-7.4604453,29.8081172,,School,DRC_All_SCHool_Local,11.331644623294977,safe
École primaire Manika 2,-7.3135185,29.8350235,,School,DRC_All_SCHool_Local,10.905000240559167,safe
École primaire Karonja,-7.0748192,29.6750316,,School,DRC_All_SCHool_Local,10.1524500797446,safe
École primaire Musika,-7.1796889,29.764147,,School,DRC_All_SCHool_Local,10.457287576391453,safe
École primaire Kasenge,-7.6250865,29.6379592,,School,DRC_All_SCHool_Local,14.93362407720245,safe
École primaire Musosa,-8.38551,29.6313562,,School,DRC_All_SCHool_Local,15.454691622973657,safe
École primaire Mulonde,-7.1731202,29.7612663,,School,DRC_All_SCHool_Local,11.120235861828455,safe
Ecole primaire Babwile,-8.3756111,28.8921389,,School,DRC_All_SCHool_Local,10.161810108580314,safe
École primaire Mwele,-7.0549573,29.6571407,,School,DRC_All_SCHool_Local,12.15634062285795,safe
Ecole primaire Dilenda,-8.4064167,28.9886389,,School,DRC_All_SCHool_Local,11.829506558073573,safe
École primaire Kizike,-7.3921183,30.1892859,,School,DRC_All_SCHool_Local,50.73615577489428,safe
Ecole secondaire Inst Mwando,-8.3857016,29.6314329,,School,DRC_All_SCHool_Local,15.477123717050429,safe
École primaire Kapote,-7.9948467,30.4366511,,School,DRC_All_SCHool_Local,31.55551055633677,safe
École secondaire Itak,-7.1805934,29.6528561,,School,DRC_All_SCHool_Local,14.405245707090215,safe
École primaire Kabazo,-7.1888493,29.6414663,,School,DRC_All_SCHool_Local,14.729914412722986,safe
École primaire Tanga,-7.2638358,29.9310863,,School,DRC_All_SCHool_Local,20.49017493295169,safe
École primaire Maseba,-6.9918433,29.5869325,,School,DRC_All_SCHool_Local,12.904082643349836,safe
École primaire Lyombe,-7.2949277,30.1446639,,School,DRC_All_SCHool_Local,44.101397762478186,safe
École primaire Kavukwa,-7.4532228,29.5103681,,School,DRC_All_SCHool_Local,17.869333942708288,safe
École primaire Mwange,-8.1534861,29.9845115,,School,DRC_All_SCHool_Local,42.82737325058101,safe
École primaire Maseba,-7.0107801,29.5740529,,School,DRC_All_SCHool_Local,15.33101568306392,safe
Ecole primaire Kayabala,-7.5710103,29.3548322,,School,DRC_All_SCHool_Local,19.21154074757258,safe
Ecole primaire Pemba,-8.0275411,29.7291843,,School,DRC_All_SCHool_Local,27.99324727153228,safe
École primaire Manika 1,-7.3591746,29.822966,,School,DRC_All_SCHool_Local,12.929912975724328,safe
École primaire Kabilozi 2,-7.4350904,29.7585542,,School,DRC_All_SCHool_Local,11.496605300627897,safe
École primaire Malango,-7.1760402,29.6469364,,School,DRC_All_SCHool_Local,15.225710236181996,safe
École primaire Kaliza,-7.6313999,29.2665795,,School,DRC_All_SCHool_Local,26.66343432300563,safe
École primaire Bweupe,-7.1290343,29.6955516,,School,DRC_All_SCHool_Local,10.47233245881552,safe
École primaire Milenda,-7.5280658,29.541161,,School,DRC_All_SCHool_Local,21.951861239612676,safe
École primaire Manika 3,-7.3881074,29.8895146,,School,DRC_All_SCHool_Local,20.47556316897699,safe
,-5.644821,28.6516336,,School,DRC_All_SCHool_Local,24.323044427671896,safe
,-5.8725716,28.4528243,,School,DRC_All_SCHool_Local,18.17043267932239,safe
Ecole secondaire Kisokwe,-4.2797477,29.1638541,,School,DRC_All_SCHool_Local,11.041295166150288,safe
Ecole secondaire Inst Kananu,-4.3693966,26.9728124,,School,DRC_All_SCHool_Local,29.93601025433873,safe
Ecole secondaire Inst Namutambala,-4.0707861,27.8619556,,School,DRC_All_SCHool_Local,20.71530780384746,safe
École primaire Inst Nakiliza,-4.0367889,27.9940306,,School,DRC_All_SCHool_Local,10.707985006339905,safe
Ecole secondaire Inst Mwangaza,-4.1744449,28.1828549,,School,DRC_All_SCHool_Local,12.118089607449685,safe
École primaire conventionnée protestante (26e CMLC),-4.3053954,28.8200516,,School,DRC_All_SCHool_Local,13.770339404173722,safe
Ecole primaire Bukuchu,-4.0324272,27.9948587,,School,DRC_All_SCHool_Local,10.222044446758334,safe
Ecole secondaire Inst Sanga,-4.0779694,27.9176611,,School,DRC_All_SCHool_Local,17.552758150876397,safe
Ecole secondaire Inst Mukoboshi,-4.0814322,27.954808,,School,DRC_All_SCHool_Local,16.306306452507947,safe
Ecole secondaire Inst Lubinga,-4.1593944,28.2133333,,School,DRC_All_SCHool_Local,11.53692814119187,safe
Ecole primaire Inst Bikuchu,-4.0380389,27.9942889,,School,DRC_All_SCHool_Local,10.84658765288135,safe
École primaire Kilubi,-4.3405976,27.1604062,,School,DRC_All_SCHool_Local,27.440376524604336,safe
École primaire Kasakwa,-4.3017433,28.84291,,School,DRC_All_SCHool_Local,11.227770459956334,safe
Ecole primaire Inst Kakono,-4.1701779,28.1727371,,School,DRC_All_SCHool_Local,11.52955871294334,safe
Ecole primaire Kisokwe,-4.2796899,29.1638537,,School,DRC_All_SCHool_Local,11.037225768681054,safe
Ecole primaire Mulamashi,-4.5288361,28.502175,,School,DRC_All_SCHool_Local,18.040012046438175,safe
Ecole secondaire Inst Kirongozi,-2.6976333,26.8571556,,School,DRC_All_SCHool_Local,29.745250942013264,safe
École primaire Fataki II,-2.6554472,26.4044556,,School,DRC_All_SCHool_Local,14.37554121212693,safe
École primaire Penemagu,-3.2462667,26.9135211,,School,DRC_All_SCHool_Local,30.110888187052453,safe
Ecole secondaire Inst Sabiazo,-2.9968153,26.2009399,,School,DRC_All_SCHool_Local,20.997129331666358,safe
Ecole secondaire Inst Wamanga,-3.3124972,27.0159472,,School,DRC_All_SCHool_Local,20.887157378415004,safe
Ecole primaire Lubulani,-3.7005556,26.6819444,,School,DRC_All_SCHool_Local,17.178744057017852,safe
Ecole primaire Luligi,-2.5120648,27.3263971,,School,DRC_All_SCHool_Local,10.58608917320166,safe
Ecole secondaire Inst Kangela,-2.6045194,26.7791056,,School,DRC_All_SCHool_Local,18.528359568257514,safe
Ecole secondaire Inst De Ngoma,-3.5415221,26.2890843,,School,DRC_All_SCHool_Local,47.46337477817201,safe
Ecole primaire Kankisi,-2.8734056,27.1836444,,School,DRC_All_SCHool_Local,12.70859064844098,safe
Ecole secondaire Inst Mabikwa,-3.3896944,26.1773722,,School,DRC_All_SCHool_Local,47.596725957450346,safe
Ecole primaire Kibanda,-2.4943583,27.5389389,,School,DRC_All_SCHool_Local,17.623238232093776,safe
École primaire Mulende,-3.1088609,26.4678217,,School,DRC_All_SCHool_Local,20.15592254169454,safe
Ecole primaire Mukulukusu,-3.4596806,27.0163361,,School,DRC_All_SCHool_Local,19.361317958261715,safe
Ecole primaire Makembe,-3.1511444,27.0257694,,School,DRC_All_SCHool_Local,19.5668303582233,safe
Ecole primaire Minoro,-2.3864889,27.1704028,,School,DRC_All_SCHool_Local,25.09295766192039,safe
Ecole primaire Kangela,-2.9139889,26.7948528,,School,DRC_All_SCHool_Local,31.14028348190074,safe
École primaire Katebwa,-3.1944,26.7951944,,School,DRC_All_SCHool_Local,18.012383817336065,safe
Ecole secondaire Inst Katumpi,-3.4722306,26.9625028,,School,DRC_All_SCHool_Local,25.46588411964908,safe
Ecole primaire Ikisa,-3.5144444,26.9002778,,School,DRC_All_SCHool_Local,20.757790362522382,safe
Ecole secondaire Inst Kakola,-3.7756167,26.4064083,,School,DRC_All_SCHool_Local,42.59946696889003,safe
Ecole primaire Kimbondi,-2.9626667,27.1848417,,School,DRC_All_SCHool_Local,17.116450526929132,safe
Ecole secondaire Inst Mungano,-3.5110111,26.2348861,,School,DRC_All_SCHool_Local,53.64538851444459,safe
Ecole primaire Kipombi,-2.7816306,27.2449056,,School,DRC_All_SCHool_Local,11.19045756187899,safe
Ecole primaire Biamito,-3.6070139,26.2522694,,School,DRC_All_SCHool_Local,51.926424783018376,safe
École primaire Keigo,-3.0265361,26.4137694,,School,DRC_All_SCHool_Local,29.97151473272711,safe
Ecole primaire Eritambia,-2.5849028,26.7119028,,School,DRC_All_SCHool_Local,10.771617185463551,safe
École primaire Kimbondi,-2.5305306,27.3006222,,School,DRC_All_SCHool_Local,10.895581773218614,safe
Ecole secondaire Inst Kaiti Katembo,-2.5715667,26.7444833,,School,DRC_All_SCHool_Local,14.208687980929852,safe
Ecole primaire Kisende,-2.8551294,26.8416551,,School,DRC_All_SCHool_Local,25.365004829594856,safe
Ecole secondaire Inst Kibonge,-3.1903583,26.8471278,,School,DRC_All_SCHool_Local,23.74898469297449,safe
École primaire Musumi,-3.6522333,26.3731611,,School,DRC_All_SCHool_Local,39.77957304855489,safe
École primaire Babingwa,-3.3240944,27.0283972,,School,DRC_All_SCHool_Local,20.3067446254655,safe
Ecole primaire Nyankungu,-3.0502389,26.2433139,,School,DRC_All_SCHool_Local,27.589053695715645,safe
Ecole primaire Mukoko,-3.3715278,27.0544528,,School,DRC_All_SCHool_Local,16.82389320302326,safe
Ecole secondaire Inst Kimbala,-2.5830278,26.7211111,,School,DRC_All_SCHool_Local,11.743695179155635,safe
Ecole primaire Lukabya,-2.8651497,27.1858944,,School,DRC_All_SCHool_Local,12.883520572230207,safe
Ecole primaire Inst Matili,-2.8476689,27.1927006,,School,DRC_All_SCHool_Local,13.695573918259585,safe
Ecole secondaire Inst Musiwa,-3.6660361,26.5349528,,School,DRC_All_SCHool_Local,23.940153885087245,safe
Ecole primaire Mundenga,-3.3981707,26.4328655,,School,DRC_All_SCHool_Local,32.64853996915821,safe
Ecole primaire Kingombe Bali,-3.1990194,26.0427028,,School,DRC_All_SCHool_Local,22.632174497082186,safe
Ecole secondaire Inst Tupinda,-3.8036583,26.4577028,,School,DRC_All_SCHool_Local,40.26562904994603,safe
École primaire Asumani,-3.1460944,26.7169056,,School,DRC_All_SCHool_Local,10.160689023017294,safe
Ecole secondaire Inst Salubezya,-2.9821417,26.7472556,,School,DRC_All_SCHool_Local,25.69992372239899,safe
Ecole primaire Kafulia,-3.1157667,26.9087917,,School,DRC_All_SCHool_Local,31.49264169797121,safe
Ecole secondaire Inst Asumani,-3.5632833,26.8281778,,School,DRC_All_SCHool_Local,12.46338458538367,safe
Ecole primaire Misisi,-2.5708111,26.7444639,,School,DRC_All_SCHool_Local,14.20356475701238,safe
École primaire Luyamba,-3.5623611,26.8275139,,School,DRC_All_SCHool_Local,12.378427363402901,safe
Ecole primaire Lomuna,-3.8039694,26.45505,,School,DRC_All_SCHool_Local,40.50034607272114,safe
Ecole secondaire Inst Itv/ulindi,-2.5773444,26.7494806,,School,DRC_All_SCHool_Local,14.80101696884052,safe
Ecole secondaire Inst Lukabya,-2.8640722,27.184975,,School,DRC_All_SCHool_Local,12.776716200557765,safe
Ecole primaire Mwanankusu,-3.655875,26.5256472,,School,DRC_All_SCHool_Local,24.24813690552124,safe
Ecole secondaire Inst Mwanankusu,-3.6535806,26.5304583,,School,DRC_All_SCHool_Local,23.657558583442956,safe
Ecole secondaire Inst Kagela,-3.2026557,26.0441168,,School,DRC_All_SCHool_Local,23.060531879732192,safe
