name,latitude,longitude,location_name,type,source,distance_to_nearest_conflict_km,risk_status
École Primaire Mambingi,0.3674602,29.2729622,,School,DRC_All_SCHool_Local,5.025537822179989,at-risk
École primaire Kisuku / Limboro,0.1165883,29.3083216,,School,DRC_All_SCHool_Local,0.5678514943021341,at-risk
École Primaire La Vérité,0.1174933,29.3189876,,School,DRC_All_SCHool_Local,0.6435111025038585,at-risk
Ecole Secondaire Ngesse,0.1441,29.319333,,School,DRC_All_SCHool_Local,3.19303485030138,at-risk
École Primaire Sambo Mbilinga,0.3231,29.20069,,School,DRC_All_SCHool_Local,4.414883794121219,at-risk
Institut Vuhika,0.0919682,29.3194718,,School,DRC_All_SCHool_Local,2.756860932039253,at-risk
École Primaire Malepe,0.25965,29.27552,,School,DRC_All_SCHool_Local,5.172239904894656,at-risk
École Primaire Teule,0.1314259,29.3296225,,School,DRC_All_SCHool_Local,2.4892138194865923,at-risk
École Primaire Munimba,0.1599479,29.316928,,School,DRC_All_SCHool_Local,3.895913017971861,at-risk
École Primaire Kirindera,0.0952335,29.3119256,,School,DRC_All_SCHool_Local,2.3154573798233473,at-risk
Institut Nderembi,0.0978454,29.3060994,,School,DRC_All_SCHool_Local,2.1761181400020497,at-risk
Ecole Primaire Bulengera,0.1454052,29.3354654,,School,DRC_All_SCHool_Local,4.087788918379095,at-risk
École Primaire Mashua,0.35778,29.18608,,School,DRC_All_SCHool_Local,7.892201937875348,at-risk
Ecole Primaire Masiki,0.1211656,29.3015055,,School,DRC_All_SCHool_Local,1.4412140705100667,at-risk
École Secondaire Petits Génies,0.1281893,29.2937803,,School,DRC_All_SCHool_Local,0.6233202487223617,at-risk
École Primaire et Secondaire Vighole,0.0747606,29.3062283,,School,DRC_All_SCHool_Local,3.0559106396303948,at-risk
Kamatsi Mkb,1.1291944,29.9880833,,School,DRC_All_SCHool_Local,0.30909719177176753,at-risk
Ecole secondaire Mont Carmel,0.145,29.317383,,School,DRC_All_SCHool_Local,3.254449811815933,at-risk
École primaire Monseigneur Sikuli,0.0985916,29.2831809,,School,DRC_All_SCHool_Local,2.5449951912410476,at-risk
École primaire Bubanda,0.2594049,29.2333752,,School,DRC_All_SCHool_Local,2.771358320342918,at-risk
Ecole Secondaire CBCA Kikyo,0.1554495,29.3005668,,School,DRC_All_SCHool_Local,2.0098273125633517,at-risk
Complexe Scolaire Labourgeoisie,0.1269725,29.2954479,,School,DRC_All_SCHool_Local,0.8298564563918706,at-risk
École Primaire et Secondaire Mashua,0.3592,29.18553,,School,DRC_All_SCHool_Local,8.049011471318986,at-risk
École Primaire Mahero,0.1065092,29.2992114,,School,DRC_All_SCHool_Local,1.8979640751528946,at-risk
École secondaire Hanga,0.1217693,29.3220821,,School,DRC_All_SCHool_Local,1.1592706305297784,at-risk
École Secondaire Emmanuel,0.1287394,29.3113554,,School,DRC_All_SCHool_Local,1.4340477037320962,at-risk
École primaire Masimbembe,0.6108333,29.3121389,,School,DRC_All_SCHool_Local,0.7746889238825398,at-risk
