name,latitude,longitude,location_name,type,source
Ecole primaire Songa Songa,-10.94325,26.9599167,,School,DRC_All_SCHool_Local
Ecole primaire Lua Bolo,3.7771667,19.055,,School,DRC_All_SCHool_Local
EP Lisanga,0.0513948,18.2747803,,School,DRC_All_SCHool_Local
Ecole primaire Mole,4.3442222,18.7921944,,School,DRC_All_SCHool_Local
Ecole primaire Ngombe Poswa,3.7206667,18.7736111,,School,DRC_All_SCHool_Local
École primaire Mpenda Moheli,-0.7884922,18.2820391,,School,DRC_All_SCHool_Local
EP Nsongwatala,0.0105446,18.3166368,,School,DRC_All_SCHool_Local
Ecole primaire Bogbadono,3.2242778,19.2933333,,School,DRC_All_SCHool_Local
Ecole primaire Bokandja,-0.8315833,18.14175,,School,DRC_All_SCHool_Local
Ecole primaire Lolango,-0.0222222,18.2036111,,School,DRC_All_SCHool_Local
École primaire Toyokana,-0.7645206,18.2873733,,School,DRC_All_SCHool_Local
EP2 Salongo,0.0311134,18.2752816,,School,DRC_All_SCHool_Local
École primaire Kpindima,3.3236944,19.4068889,,School,DRC_All_SCHool_Local
EP Bokombondji,0.045843,18.2654281,,School,DRC_All_SCHool_Local
EP Mpaha Epole,-0.8299891,18.1848708,,School,DRC_All_SCHool_Local
EP Ekofo,-0.0657524,18.169366,,School,DRC_All_SCHool_Local
Ecole primaire Nguvale,2.9751389,19.3518611,,School,DRC_All_SCHool_Local
Ecole primaire Ikengo,-0.0099839,18.3269081,,School,DRC_All_SCHool_Local
EP Mpiko,-1.0289311,18.6278682,,School,DRC_All_SCHool_Local
Ecole primaire Papa Diangenda,0.0477778,18.2477778,,School,DRC_All_SCHool_Local
EP Mbongo Buyombo,-1.0191885,18.6379008,,School,DRC_All_SCHool_Local
Ecole primaire Maman Yanga,3.25725,19.7898611,,School,DRC_All_SCHool_Local
Ecole primaire Talasa,3.1757778,19.2439722,,School,DRC_All_SCHool_Local
EP Besenge,-0.8338388,18.1765274,,School,DRC_All_SCHool_Local
École primaire Etoko,0.0102642,18.3274462,,School,DRC_All_SCHool_Local
Ecole primaire Sembi,3.2409167,19.6926389,,School,DRC_All_SCHool_Local
EP2 Mopepe,0.0344289,18.2505451,,School,DRC_All_SCHool_Local
École primaire Nika,4.3482184,18.5932282,,School,DRC_All_SCHool_Local
EP Itemanonga,-0.8180582,18.6666613,,School,DRC_All_SCHool_Local
Ecole primaire Bodigia,3.31875,19.8211389,,School,DRC_All_SCHool_Local
Ecole primaire Ekof'ekema 1,0.0433333,18.2644444,,School,DRC_All_SCHool_Local
Ecole primaire Nzembenga,-1.0725556,18.6205,,School,DRC_All_SCHool_Local
École primaire Liyombo Mpenda,-0.7537476,18.2321524,,School,DRC_All_SCHool_Local
Ecole primaire Eanga,-0.1255878,18.1370195,,School,DRC_All_SCHool_Local
Ecole primaire Wanie-rukula,0.1960556,25.5308889,,School,DRC_All_SCHool_Local
Ecole primaire Bayangene I,0.8763333,25.1919167,,School,DRC_All_SCHool_Local
Ecole primaire Tomibikisa,0.1967778,25.5202778,,School,DRC_All_SCHool_Local
Ecole primaire Bayangene II,0.8794722,25.1928611,,School,DRC_All_SCHool_Local
Ecole primaire Ndjale,-0.2380278,25.3209722,,School,DRC_All_SCHool_Local
Institut Matanda,0.0947622,29.2848243,,School,DRC_All_SCHool_Local
École Primaire Mambingi,0.3674602,29.2729622,,School,DRC_All_SCHool_Local
École primaire Kisuku / Limboro,0.1165883,29.3083216,,School,DRC_All_SCHool_Local
École Primaire La Vérité,0.1174933,29.3189876,,School,DRC_All_SCHool_Local
Ecole Secondaire Ngesse,0.1441,29.319333,,School,DRC_All_SCHool_Local
École Primaire Sambo Mbilinga,0.3231,29.20069,,School,DRC_All_SCHool_Local
Institut Vuhika,0.0919682,29.3194718,,School,DRC_All_SCHool_Local
École Primaire Malepe,0.25965,29.27552,,School,DRC_All_SCHool_Local
École Primaire Teule,0.1314259,29.3296225,,School,DRC_All_SCHool_Local
École Primaire Munimba,0.1599479,29.316928,,School,DRC_All_SCHool_Local
École Primaire Kirindera,0.0952335,29.3119256,,School,DRC_All_SCHool_Local
Institut Nderembi,0.0978454,29.3060994,,School,DRC_All_SCHool_Local
Ecole Primaire Bulengera,0.1454052,29.3354654,,School,DRC_All_SCHool_Local
École Primaire Mashua,0.35778,29.18608,,School,DRC_All_SCHool_Local
Ecole Primaire Masiki,0.1211656,29.3015055,,School,DRC_All_SCHool_Local
École Secondaire Petits Génies,0.1281893,29.2937803,,School,DRC_All_SCHool_Local
École Primaire et Secondaire Vighole,0.0747606,29.3062283,,School,DRC_All_SCHool_Local
Kamatsi Mkb,1.1291944,29.9880833,,School,DRC_All_SCHool_Local
Ecole secondaire Mont Carmel,0.145,29.317383,,School,DRC_All_SCHool_Local
École primaire Monseigneur Sikuli,0.0985916,29.2831809,,School,DRC_All_SCHool_Local
École primaire Bubanda,0.2594049,29.2333752,,School,DRC_All_SCHool_Local
Ecole Secondaire CBCA Kikyo,0.1554495,29.3005668,,School,DRC_All_SCHool_Local
Complexe Scolaire Labourgeoisie,0.1269725,29.2954479,,School,DRC_All_SCHool_Local
École Primaire et Secondaire Mashua,0.3592,29.18553,,School,DRC_All_SCHool_Local
