osm_id,osm_type,latitude,longitude,FIXME,addr:city,addr:commune,addr:country,addr:county,addr:district,addr:full,addr:housename,addr:housenumber,addr:locality,addr:municipality,addr:parish,addr:postcode,addr:province,addr:quarter,addr:street,addr:subcounty,addr:subdistrict,addr:suburb,addr:village,addr:ward,alt_name,amenity,area,attribution,barrier,building,building:condition,building:floor,building:levels,building:material,building:min_level,cables,check:date,check_date,comment,contact:email,contact:facebook,contact:phone,contact:twitter,contact:website,date,denomination,description,education,email,fixme,frequency,grades,health_facility:CD,healthcare,height,id:uuid,is_in,is_in:admin_level4,is_in:admin_level6,is_in:admin_level7,is_in:admin_level8,is_in:educ_level6,is_in:health_level10,is_in:health_level6,is_in:health_level8,is_in:province,is_in:village,isced,isced:level,landuse,man_made,max_age,min_age,name,name:de,name:en,name:fr,name:hu,name:ln,note,note:de,office,official_name,old_name,opening_hours,operator,operator:type,osm_id,osm_type,phone,project:oif-dfen_carteinnov,religion,school,school:CD,school:boarding,school:gender,short_name,source,source:alt_name,source:date,source:geometry,source:geometry:date,source:name,source:outline,source:position,source:ref,source_date,source_ref,start_date,strapline,surface,survey,survey:date,survey_date,toilets,type,vaccination,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia
934840866,node,-5.8910786,22.4171816,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athénée,,,,,,,,,,,,,,934840866,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944857352,node,-4.4046477,15.4070665,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,"different schools, names and positions unclear",,,,,,,,,,,,,,,,,,,,,,,,École ITP Passio,,,,,,,,,,,,,,944857352,node,,,,,,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
944861514,node,-4.4189146,15.3926001,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole Primaire Biyela,,,,,,,,,,,,,,944861514,node,,,,,primaire,,,,MSF survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,
1146978927,node,-5.2516333,14.8625144,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lycée Bankazi,,,,,,,,,,,,,,1146978927,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146978930,node,-5.2557255,14.855603,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Luzolo,,,,,,,,,,,,,,1146978930,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146978937,node,-5.258717,14.8593796,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LycéE Kivuvu,,,,,,,,,,,,,,1146978937,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146978942,node,-5.2551534,14.8640079,,Mbanza-Ngungu,,,,,,,,,,,,,,Concession protestante,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITC BADIKA,,,,,,,,,,,,ArthanDesign,private,1146978942,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146978965,node,-5.2572415,14.8588099,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Kivuvu,,,,,,,,,,,,,,1146978965,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154230417,node,3.5995384,28.5749679,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collège Wando,,,,,,,,,,,,,,1154230417,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197330647,node,-11.6994167,27.4848056,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Mapatano II,,,,,,,,,,,,,,1197330647,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330648,node,-11.8230278,27.5875278,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Kamakanga,,,,,,,,,,,,,,1197330648,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330652,node,-10.9740833,26.7079167,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Matayarisho 3,,,,,,,,,,,,,,1197330652,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330653,node,-10.9625556,26.7234444,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecole primaire Mumea,,,,,,,,,,,,,,1197330653,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
1197330656,node,-11.4733056,27.3861389,,,,,,,,,,,,,,,,,,,,,,,school,,«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,École primaire Tumbwe,,,,,,,,,,,,,,1197330656,node,,,,,primaire,,,,GPS,,2010/04/21,,,,,,,,www.rgc.cd,,,,,,,,,,,,,,,
