name,latitude,longitude,risk_status,distance_km,nearest_conflict_type,nearest_conflict_date,osm_id
Institut Batela,-4.3569166,15.267292,at-risk,6.27,Strategic development,2024-01-03,5329686116
CS Bolamu,-4.3571734,15.2660072,at-risk,6.39,Strategic development,2024-01-03,5329686117
CS Nyota,-4.3560956,15.263384,at-risk,6.54,Strategic development,2024-01-03,5329686119
Ecole Kama,-4.3510783,15.2639928,at-risk,6.16,Strategic development,2024-01-03,5329686124
Ecole Les petits Lutins,-4.3413163,15.2661172,at-risk,5.41,Strategic development,2024-01-03,5329686133
C.S. Les Hortensias,-4.3438972,15.2666643,at-risk,5.49,Strategic development,2024-01-03,5329686134
ILS,-4.4028677,15.2922553,at-risk,9.42,Strategic development,2024-01-03,5372939687
C.S. Kiese,-4.352285,15.2853794,at-risk,4.51,Strategic development,2024-01-03,5407026099
École Maternelle Boboto,-4.3085395,15.2867889,at-risk,2.87,Strategic development,2024-01-03,5410208647
C.S. Manyanga,-4.3084271,15.2871966,at-risk,2.84,Strategic development,2024-01-03,5410208648
Univers scolaire,-4.3526337,15.2834166,at-risk,4.67,Strategic development,2024-01-03,5416312771
C.S. Baraka,-4.3532918,15.2835511,at-risk,4.72,Strategic development,2024-01-03,5416315445
Ecole Mama Nkuakadi,-4.3843619,15.2595709,at-risk,9.08,Strategic development,2024-01-03,5496855512
Ecole Maternel,-4.3855435,15.2598327,at-risk,9.17,Strategic development,2024-01-03,5496855513
CS Saint Georges,-4.3397469,15.2656913,at-risk,5.38,Strategic development,2024-01-03,5499221917
Ecole Rev. Kim,-4.3325279,15.2629817,at-risk,5.4,Strategic development,2024-01-03,5499221918
GS Aurore,-4.331105,15.2634993,at-risk,5.3,Strategic development,2024-01-03,5499221920
Ecole La Main Ouverte,-4.3407654,15.2990976,at-risk,2.61,Strategic development,2024-01-03,5499321327
Institut Charles Kisolokele,-4.3438999,15.297837,at-risk,2.98,Strategic development,2024-01-03,5499321332
Collège Mixte de Bandalungua,-4.3458978,15.2868506,at-risk,3.86,Strategic development,2024-01-03,5499321338
CS Clessidra,-4.3168682,15.2912924,at-risk,2.1,Strategic development,2024-01-03,5499358550
Ecole Eureka,-4.3173871,15.2899727,at-risk,2.24,Strategic development,2024-01-03,5499358552
Ecole Bilingue Les Petits Dauphins,-4.3179514,15.2872369,at-risk,2.53,Strategic development,2024-01-03,5499358554
Complexe Scolaire La Puisette Ngoika,-4.322862,15.2892861,at-risk,2.32,Strategic development,2024-01-03,5499427140
Ecole Bambinière,-4.3172306,15.2929687,at-risk,1.91,Strategic development,2024-01-03,5500780938
Collège Saint Thomas,-4.4004716,15.3481083,at-risk,9.9,Strategic development,2024-01-03,5744539985
Ecole Wasson,-4.404701,15.3382136,at-risk,9.92,Strategic development,2024-01-03,5765411104
Ecole Mika,-4.4039301,15.338362,at-risk,9.85,Strategic development,2024-01-03,5765423529
Ecole Maranata,-4.401786,15.3333051,at-risk,9.45,Strategic development,2024-01-03,5765430453
Centre de formation Collège AUXANO,-4.4035082,15.3418078,at-risk,9.93,Strategic development,2024-01-03,5765843767
Unnamed School,-4.4002349,15.3475812,at-risk,9.85,Strategic development,2024-01-03,5765970916
Collège Emérite,-4.3872283,15.3571996,at-risk,9.13,Strategic development,2024-01-03,5766095033
CS/Institut Mpyncha,-4.3963264,15.3550706,at-risk,9.85,Strategic development,2024-01-03,5768072708
Ecole EMERCO,-4.3923323,15.3588572,at-risk,9.7,Strategic development,2024-01-03,5768103357
La foi,-4.3923704,15.3570923,at-risk,9.59,Strategic development,2024-01-03,5768131526
Kangudi,-4.3930423,15.3572137,at-risk,9.66,Strategic development,2024-01-03,5768199852
SOS Villages D’Efants,-2.4928373,28.840995,at-risk,1.28,Violence against civilians,2024-01-02,5809109053
Imani,-4.3797508,15.3734833,at-risk,9.68,Strategic development,2024-01-03,5922020563
Kasa Mbanza,-4.3662571,15.3740571,at-risk,8.77,Strategic development,2024-01-03,5922084587
Complexe Scolaire Bon Berger,-4.3320157,15.3464466,at-risk,4.26,Strategic development,2024-01-03,6039032208
Ecole Primaire,-4.328405,15.3464996,at-risk,4.15,Strategic development,2024-01-03,6039131956
Groupe Scolaire Tembele,-4.3330454,15.3461429,at-risk,4.26,Strategic development,2024-01-03,6039151839
Complexe Scolaire Saint Denis Wa,-4.3331112,15.3473542,at-risk,4.39,Strategic development,2024-01-03,6039196508
Saint Raphael de Karmaria,-4.3335428,15.346562,at-risk,4.32,Strategic development,2024-01-03,6039240939
